Strain (%),Stress (MPa),Time (sec)
17.43,2.87,44
17.45,2.87,44
17.48,2.87,44
17.51,2.87,44
17.53,2.87,44
17.55,2.878,44
17.58,2.878,44
17.61,2.878,44
17.63,2.878,44
17.65,2.886,44
17.68,2.886,44
17.71,2.886,44
17.73,2.886,44
17.75,2.894,45
17.78,2.894,45
17.8,2.894,45
17.83,2.894,45
17.85,2.894,45
17.88,2.901,45
17.9,2.901,45
17.93,2.901,45
17.95,2.909,45
17.98,2.909,45
18,2.909,45
18.03,2.909,45
18.05,2.909,45
18.08,2.909,45
18.1,2.909,45
18.13,2.917,45
18.15,2.917,46
18.18,2.917,46
18.2,2.917,46
18.23,2.917,46
18.25,2.917,46
18.28,2.924,46
18.3,2.924,46
18.33,2.932,46
18.35,2.924,46
18.38,2.932,46
18.4,2.932,46
18.43,2.932,46
18.45,2.94,46
18.48,2.94,46
18.5,2.94,46
18.53,2.94,46
18.55,2.94,47
18.57,2.94,47
18.6,2.948,47
18.63,2.948,47
18.65,2.948,47
18.68,2.948,47
18.7,2.948,47
18.73,2.955,47
18.75,2.955,47
18.77,2.955,47
18.8,2.955,47
18.82,2.963,47
18.85,2.963,47
18.88,2.963,47
18.9,2.963,47
18.93,2.963,47
18.95,2.971,48
18.98,2.971,48
19,2.971,48
19.02,2.971,48
19.05,2.971,48
19.08,2.971,48
19.1,2.978,48
19.12,2.978,48
19.15,2.978,48
19.17,2.978,48
19.2,2.978,48
19.22,2.978,48
19.25,2.986,48
19.27,2.986,48
19.3,2.986,48
19.32,2.986,48
19.35,2.986,49
19.37,2.986,49
19.4,2.994,49
19.42,2.994,49
19.45,2.994,49
19.47,2.994,49
19.5,2.994,49
19.52,3.002,49
19.55,3.002,49
19.57,3.002,49
19.6,3.002,49
19.62,3.002,49
19.65,3.009,49
19.67,3.009,49
19.7,3.009,49
19.72,3.009,49
19.75,3.009,50
19.77,3.009,50
19.8,3.017,50
19.82,3.017,50
19.84,3.017,50
19.87,3.017,50
19.9,3.017,50
19.92,3.017,50
19.95,3.025,50
19.97,3.025,50
20,3.025,50
20,3.025,50
20,3.032,50
20.1,3.032,50
20.1,3.032,50
20.1,3.032,50
20.1,3.04,51
20.2,3.04,51
20.2,3.04,51
20.2,3.04,51
20.2,3.04,51
20.3,3.04,51
20.3,3.04,51
20.3,3.048,51
20.3,3.048,51
20.4,3.048,51
20.4,3.048,51
20.4,3.056,51
20.4,3.056,51
20.5,3.056,51
20.5,3.056,51
20.5,3.056,51
20.5,3.063,52
20.6,3.063,52
20.6,3.063,52
20.6,3.063,52
20.6,3.063,52
20.7,3.063,52
20.7,3.071,52
20.7,3.071,52
20.7,3.071,52
20.8,3.063,52
20.8,3.071,52
20.8,3.071,52
20.8,3.079,52
20.9,3.079,52
20.9,3.079,52
20.9,3.079,52
20.9,3.079,53
21,3.086,53
21,3.086,53
21,3.086,53
21,3.086,53
21.1,3.086,53
21.1,3.086,53
21.1,3.086,53
21.1,3.086,53
21.2,3.086,53
21.2,3.094,53
21.2,3.094,53
21.2,3.094,53
21.3,3.094,53
21.3,3.102,53
21.3,3.102,53
21.3,3.102,54
21.4,3.102,54
21.4,3.11,54
21.4,3.102,54
21.4,3.11,54
21.5,3.11,54
21.5,3.11,54
21.5,3.11,54
21.5,3.11,54
21.6,3.11,54
21.6,3.117,54
21.6,3.117,54
21.6,3.117,54
21.7,3.117,54
21.7,3.117,54
21.7,3.117,54
21.7,3.117,55
21.8,3.125,55
21.8,3.125,55
21.8,3.125,55
21.8,3.125,55
21.9,3.125,55
21.9,3.133,55
21.9,3.133,55
21.9,3.133,55
22,3.133,55
22,3.133,55
22,3.133,55
22,3.133,55
22.1,3.133,55
22.1,3.133,55
22.1,3.14,55
22.1,3.14,56
22.2,3.14,56
22.2,3.148,56
22.2,3.148,56
22.2,3.148,56
22.3,3.148,56
22.3,3.148,56
22.3,3.148,56
22.3,3.156,56
22.4,3.148,56
22.4,3.156,56
