qq,RPI-XN-HDPE-Q i,HDPE-128,RPI-XN-HDPE-128,RPI-XN-HDPE-130,,q (A^-1),RPI-XN-4-71 in Co,RPI-XN-4-73-1280C,RPI-XN-4-73-1285C,RPI-XN-4-73-1290C,RPI-XN-4-73-1295C,RPI-XN-4-73-1300C,RPI-XN-4-73-1305C
1.18E+00,3.31E-02,3.27E-02,3.93E-02,4.86E-02,,1.18E+00,8.79E-02,0.0848,0.087,0.0956,0.0809,0.0352,0.0727
1.18E+00,3.39E-02,3.31E-02,3.95E-02,4.98E-02,,1.18E+00,8.98E-02,0.0865,0.0875,0.0988,0.0807,0.0357,0.0732
1.19E+00,3.44E-02,3.36E-02,3.99E-02,5.10E-02,,1.19E+00,9.19E-02,0.0892,0.0899,0.101,0.0828,0.0361,0.0758
1.19E+00,3.53E-02,3.43E-02,4.14E-02,5.17E-02,,1.19E+00,9.18E-02,0.0895,0.091,0.0993,0.0839,0.0366,0.0766
1.19E+00,3.58E-02,3.48E-02,4.18E-02,5.24E-02,,1.19E+00,9.38E-02,0.0903,0.0922,0.101,0.0857,0.0366,0.0763
1.20E+00,3.65E-02,3.58E-02,4.24E-02,5.37E-02,,1.20E+00,9.44E-02,0.0919,0.091,0.104,0.0856,0.0374,0.0789
1.20E+00,3.72E-02,3.69E-02,4.36E-02,5.39E-02,,1.20E+00,9.75E-02,0.0934,0.094,0.104,0.0869,0.038,0.0781
1.21E+00,3.80E-02,3.70E-02,4.42E-02,5.49E-02,,1.21E+00,9.80E-02,0.0964,0.0949,0.107,0.0889,0.0392,0.081
1.21E+00,3.91E-02,3.77E-02,4.48E-02,5.62E-02,,1.21E+00,1.01E-01,0.0994,0.0992,0.108,0.0903,0.0395,0.0826
1.22E+00,3.95E-02,3.85E-02,4.57E-02,5.75E-02,,1.22E+00,1.01E-01,0.0989,0.0995,0.108,0.092,0.0401,0.084
1.22E+00,4.07E-02,3.93E-02,4.69E-02,5.83E-02,,1.22E+00,1.03E-01,0.102,0.102,0.112,0.0931,0.0402,0.0846
1.22E+00,4.13E-02,3.94E-02,4.78E-02,5.92E-02,,1.22E+00,1.04E-01,0.101,0.101,0.112,0.0949,0.0415,0.0867
1.23E+00,4.23E-02,4.02E-02,4.84E-02,6.08E-02,,1.23E+00,1.07E-01,0.105,0.103,0.115,0.0952,0.0415,0.0871
1.23E+00,4.29E-02,4.14E-02,4.93E-02,6.12E-02,,1.23E+00,1.12E-01,0.105,0.106,0.117,0.0967,0.0426,0.0899
1.24E+00,4.33E-02,4.18E-02,5.05E-02,6.20E-02,,1.24E+00,1.12E-01,0.107,0.109,0.118,0.0982,0.0426,0.0894
1.24E+00,4.49E-02,4.24E-02,5.09E-02,6.41E-02,,1.24E+00,1.13E-01,0.108,0.109,0.118,0.101,0.0434,0.0925
1.24E+00,4.52E-02,4.36E-02,5.22E-02,6.45E-02,,1.24E+00,1.17E-01,0.109,0.113,0.123,0.101,0.0436,0.0939
1.25E+00,4.63E-02,4.44E-02,5.33E-02,6.64E-02,,1.25E+00,1.18E-01,0.115,0.113,0.122,0.105,0.0445,0.0959
1.25E+00,4.73E-02,4.54E-02,5.44E-02,6.68E-02,,1.25E+00,1.19E-01,0.116,0.115,0.127,0.104,0.0454,0.0951
1.26E+00,4.78E-02,4.56E-02,5.47E-02,6.86E-02,,1.26E+00,1.21E-01,0.117,0.117,0.129,0.105,0.0458,0.0996
1.26E+00,4.88E-02,4.64E-02,5.54E-02,6.92E-02,,1.26E+00,1.25E-01,0.115,0.119,0.128,0.108,0.0466,0.099
1.27E+00,5.01E-02,4.74E-02,5.63E-02,7.02E-02,,1.27E+00,1.26E-01,0.118,0.12,0.131,0.111,0.0474,0.101
1.27E+00,5.05E-02,4.82E-02,5.80E-02,7.19E-02,,1.27E+00,1.27E-01,0.123,0.122,0.131,0.112,0.0485,0.102
1.27E+00,5.15E-02,4.87E-02,5.92E-02,7.30E-02,,1.27E+00,1.31E-01,0.125,0.126,0.136,0.113,0.0491,0.105
1.28E+00,5.25E-02,4.98E-02,6.00E-02,7.41E-02,,1.28E+00,1.30E-01,0.124,0.126,0.139,0.115,0.0493,0.106
1.28E+00,5.32E-02,5.06E-02,6.05E-02,7.48E-02,,1.28E+00,1.34E-01,0.129,0.129,0.14,0.12,0.0512,0.108
1.29E+00,5.47E-02,5.14E-02,6.20E-02,7.69E-02,,1.29E+00,1.37E-01,0.128,0.128,0.14,0.121,0.051,0.111
1.29E+00,5.58E-02,5.14E-02,6.27E-02,7.72E-02,,1.29E+00,1.37E-01,0.131,0.133,0.143,0.119,0.0509,0.11
1.29E+00,5.60E-02,5.29E-02,6.40E-02,7.90E-02,,1.29E+00,1.38E-01,0.129,0.134,0.143,0.122,0.0523,0.112
1.30E+00,5.74E-02,5.38E-02,6.53E-02,8.01E-02,,1.30E+00,1.44E-01,0.135,0.137,0.145,0.123,0.0526,0.114
1.30E+00,5.74E-02,5.44E-02,6.52E-02,8.12E-02,,1.30E+00,1.43E-01,0.136,0.136,0.147,0.125,0.054,0.116
1.31E+00,5.88E-02,5.43E-02,6.65E-02,8.24E-02,,1.31E+00,1.47E-01,0.139,0.14,0.149,0.129,0.0543,0.116
1.31E+00,5.93E-02,5.62E-02,6.77E-02,8.40E-02,,1.31E+00,1.46E-01,0.141,0.14,0.149,0.13,0.0559,0.12
1.32E+00,6.07E-02,5.62E-02,6.82E-02,8.52E-02,,1.32E+00,1.50E-01,0.143,0.142,0.156,0.131,0.0552,0.119
1.32E+00,6.18E-02,5.73E-02,7.00E-02,8.65E-02,,1.32E+00,1.53E-01,0.147,0.144,0.157,0.132,0.057,0.121
1.32E+00,6.23E-02,5.83E-02,7.12E-02,8.74E-02,,1.32E+00,1.54E-01,0.149,0.147,0.157,0.136,0.057,0.123
1.33E+00,6.37E-02,5.96E-02,7.27E-02,8.96E-02,,1.33E+00,1.57E-01,0.155,0.149,0.162,0.14,0.0594,0.124
1.33E+00,6.44E-02,6.11E-02,7.43E-02,9.26E-02,,1.33E+00,1.61E-01,0.159,0.153,0.164,0.143,0.0602,0.127
1.34E+00,6.58E-02,6.19E-02,7.62E-02,9.49E-02,,1.34E+00,1.61E-01,0.163,0.156,0.168,0.145,0.0628,0.131
1.34E+00,6.66E-02,6.40E-02,7.79E-02,9.71E-02,,1.34E+00,1.63E-01,0.165,0.16,0.171,0.149,0.0619,0.133
1.34E+00,6.69E-02,6.47E-02,7.91E-02,9.73E-02,,1.34E+00,1.63E-01,0.168,0.158,0.173,0.147,0.0637,0.135
1.35E+00,6.69E-02,6.41E-02,7.88E-02,9.66E-02,,1.35E+00,1.62E-01,0.169,0.159,0.168,0.145,0.0633,0.133
1.35E+00,6.73E-02,6.36E-02,7.78E-02,9.58E-02,,1.35E+00,1.67E-01,0.167,0.16,0.17,0.147,0.0638,0.136
1.36E+00,6.81E-02,6.39E-02,7.79E-02,9.45E-02,,1.36E+00,1.66E-01,0.165,0.16,0.17,0.148,0.0613,0.133
1.36E+00,6.75E-02,6.37E-02,7.78E-02,9.46E-02,,1.36E+00,1.68E-01,0.162,0.16,0.17,0.147,0.062,0.135
1.36E+00,6.74E-02,6.36E-02,7.75E-02,9.49E-02,,1.37E+00,1.68E-01,0.163,0.165,0.173,0.149,0.0642,0.135
1.37E+00,6.90E-02,6.37E-02,7.84E-02,9.53E-02,,1.37E+00,1.67E-01,0.164,0.163,0.174,0.148,0.0625,0.137
1.37E+00,6.78E-02,6.40E-02,7.78E-02,9.58E-02,,1.37E+00,1.69E-01,0.164,0.165,0.175,0.15,0.0622,0.137
1.38E+00,6.82E-02,6.45E-02,7.87E-02,9.70E-02,,1.38E+00,1.71E-01,0.164,0.165,0.176,0.15,0.0633,0.138
1.38E+00,6.81E-02,6.47E-02,7.89E-02,9.68E-02,,1.38E+00,1.71E-01,0.167,0.166,0.177,0.154,0.0641,0.141
1.39E+00,6.82E-02,6.57E-02,7.84E-02,9.70E-02,,1.39E+00,1.71E-01,0.17,0.171,0.176,0.153,0.0645,0.142
1.39E+00,6.95E-02,6.53E-02,8.00E-02,9.81E-02,,1.39E+00,1.74E-01,0.167,0.166,0.177,0.154,0.0652,0.141
1.39E+00,6.94E-02,6.57E-02,8.01E-02,9.88E-02,,1.39E+00,1.76E-01,0.168,0.171,0.179,0.154,0.0647,0.143
1.40E+00,6.97E-02,6.55E-02,8.13E-02,9.97E-02,,1.40E+00,1.74E-01,0.169,0.17,0.182,0.157,0.0642,0.143
1.40E+00,6.98E-02,6.64E-02,8.13E-02,1.01E-01,,1.40E+00,1.72E-01,0.172,0.174,0.183,0.158,0.067,0.147
1.41E+00,7.05E-02,6.76E-02,8.23E-02,1.02E-01,,1.41E+00,1.71E-01,0.173,0.177,0.188,0.159,0.0675,0.148
1.41E+00,7.08E-02,6.77E-02,8.36E-02,1.03E-01,,1.41E+00,1.78E-01,0.176,0.178,0.188,0.161,0.0663,0.149
1.41E+00,7.18E-02,6.88E-02,8.52E-02,1.05E-01,,1.42E+00,1.78E-01,0.178,0.18,0.194,0.168,0.0703,0.152
1.42E+00,7.20E-02,7.00E-02,8.70E-02,1.07E-01,,1.42E+00,1.82E-01,0.179,0.18,0.198,0.166,0.0689,0.155
1.42E+00,7.44E-02,7.16E-02,8.87E-02,1.10E-01,,1.42E+00,1.85E-01,0.184,0.186,0.202,0.175,0.0731,0.158
1.43E+00,7.54E-02,7.40E-02,9.07E-02,1.13E-01,,1.43E+00,1.90E-01,0.19,0.19,0.202,0.178,0.0721,0.163
1.43E+00,7.78E-02,7.61E-02,9.35E-02,1.17E-01,,1.43E+00,1.96E-01,0.196,0.2,0.21,0.184,0.0746,0.165
1.44E+00,7.88E-02,7.81E-02,9.76E-02,1.21E-01,,1.44E+00,2.01E-01,0.202,0.204,0.217,0.19,0.0768,0.171
1.44E+00,8.39E-02,8.16E-02,1.04E-01,1.27E-01,,1.44E+00,2.07E-01,0.212,0.217,0.231,0.199,0.0789,0.181
1.44E+00,8.72E-02,8.77E-02,1.08E-01,1.37E-01,,1.44E+00,2.22E-01,0.222,0.229,0.245,0.207,0.0856,0.191
1.45E+00,9.35E-02,9.28E-02,1.18E-01,1.48E-01,,1.45E+00,2.37E-01,0.244,0.249,0.263,0.228,0.0884,0.206
1.45E+00,1.03E-01,1.03E-01,1.30E-01,1.64E-01,,1.45E+00,2.57E-01,0.269,0.273,0.291,0.253,0.0982,0.225
1.46E+00,1.13E-01,1.15E-01,1.48E-01,1.90E-01,,1.46E+00,2.92E-01,0.312,0.312,0.339,0.294,0.11,0.259
1.46E+00,1.35E-01,1.36E-01,1.78E-01,2.31E-01,,1.46E+00,3.55E-01,0.386,0.388,0.432,0.371,0.124,0.315
1.46E+00,1.74E-01,1.74E-01,2.34E-01,3.13E-01,,1.46E+00,4.72E-01,0.543,0.569,0.645,0.538,0.159,0.439
1.47E+00,2.49E-01,2.55E-01,3.67E-01,5.14E-01,,1.47E+00,6.61E-01,0.895,0.97,1.17,0.945,0.231,0.747
1.47E+00,3.98E-01,4.60E-01,6.85E-01,1.01E+00,,1.47E+00,9.98E-01,1.6,1.76,2.11,1.73,0.415,1.39
1.48E+00,6.75E-01,9.30E-01,1.32E+00,1.98E+00,,1.48E+00,1.42E+00,2.59,2.84,3.38,2.79,0.781,2.41
1.48E+00,1.03E+00,1.63E+00,2.16E+00,3.13E+00,,1.48E+00,1.76E+00,3.52,3.75,4.35,3.68,1.26,3.42
1.49E+00,1.32E+00,2.20E+00,2.78E+00,3.81E+00,,1.49E+00,1.85E+00,3.77,4.06,4.47,3.9,1.56,3.85
1.49E+00,1.35E+00,2.29E+00,2.77E+00,3.60E+00,,1.49E+00,1.69E+00,3.23,3.6,3.62,3.26,1.45,3.44
1.49E+00,1.11E+00,1.83E+00,2.14E+00,2.64E+00,,1.49E+00,1.32E+00,2.22,2.61,2.39,2.2,1.02,2.4
1.50E+00,7.45E-01,1.13E+00,1.28E+00,1.51E+00,,1.50E+00,9.11E-01,1.29,1.5,1.33,1.26,0.553,1.35
1.50E+00,4.35E-01,5.61E-01,6.39E-01,7.27E-01,,1.50E+00,5.94E-01,0.691,0.744,0.682,0.635,0.27,0.673
1.51E+00,2.45E-01,2.71E-01,3.02E-01,3.52E-01,,1.51E+00,3.87E-01,0.414,0.412,0.398,0.365,0.154,0.362
1.51E+00,1.51E-01,1.53E-01,1.79E-01,2.11E-01,,1.51E+00,2.81E-01,0.293,0.293,0.295,0.265,0.111,0.255
1.51E+00,1.09E-01,1.11E-01,1.32E-01,1.61E-01,,1.51E+00,2.28E-01,0.236,0.238,0.251,0.226,0.0926,0.211
1.52E+00,8.64E-02,9.20E-02,1.11E-01,1.38E-01,,1.52E+00,2.01E-01,0.212,0.212,0.219,0.195,0.0813,0.189
1.52E+00,7.49E-02,8.01E-02,9.68E-02,1.20E-01,,1.52E+00,1.77E-01,0.192,0.197,0.199,0.177,0.0767,0.167
1.53E+00,6.56E-02,7.16E-02,8.81E-02,1.08E-01,,1.53E+00,1.61E-01,0.179,0.182,0.19,0.164,0.0685,0.155
1.53E+00,6.07E-02,6.55E-02,8.16E-02,9.77E-02,,1.53E+00,1.48E-01,0.163,0.171,0.181,0.157,0.0656,0.15
1.54E+00,5.68E-02,6.15E-02,7.47E-02,9.05E-02,,1.54E+00,1.44E-01,0.159,0.161,0.172,0.148,0.0625,0.142
1.54E+00,5.39E-02,5.64E-02,6.99E-02,8.73E-02,,1.54E+00,1.42E-01,0.156,0.159,0.166,0.138,0.0616,0.137
1.54E+00,5.19E-02,5.55E-02,6.61E-02,8.35E-02,,1.54E+00,1.36E-01,0.153,0.156,0.16,0.144,0.06,0.137
1.55E+00,4.83E-02,5.11E-02,6.34E-02,8.02E-02,,1.55E+00,1.31E-01,0.141,0.147,0.155,0.135,0.057,0.129
1.55E+00,4.74E-02,5.04E-02,6.20E-02,7.66E-02,,1.55E+00,1.32E-01,0.144,0.143,0.153,0.131,0.0551,0.125
1.56E+00,4.55E-02,4.88E-02,6.06E-02,7.44E-02,,1.56E+00,1.24E-01,0.139,0.142,0.143,0.131,0.055,0.121
1.56E+00,4.45E-02,4.71E-02,5.79E-02,7.13E-02,,1.56E+00,1.26E-01,0.139,0.144,0.149,0.131,0.0534,0.114
1.56E+00,4.42E-02,4.54E-02,5.73E-02,7.09E-02,,1.56E+00,1.26E-01,0.13,0.135,0.146,0.122,0.0528,0.121
1.57E+00,4.31E-02,4.65E-02,5.68E-02,7.01E-02,,1.57E+00,1.22E-01,0.124,0.137,0.143,0.126,0.0538,0.119
1.57E+00,4.29E-02,4.47E-02,5.66E-02,6.98E-02,,1.57E+00,1.20E-01,0.13,0.136,0.147,0.124,0.0537,0.118
1.58E+00,4.37E-02,4.49E-02,5.55E-02,6.84E-02,,1.58E+00,1.22E-01,0.124,0.137,0.142,0.125,0.0503,0.115
1.58E+00,4.15E-02,4.54E-02,5.58E-02,7.15E-02,,1.58E+00,1.25E-01,0.131,0.134,0.141,0.124,0.0512,0.112
1.58E+00,4.26E-02,4.61E-02,5.66E-02,7.20E-02,,1.59E+00,1.27E-01,0.129,0.137,0.148,0.13,0.0513,0.121
1.59E+00,4.30E-02,4.51E-02,5.66E-02,7.10E-02,,1.59E+00,1.26E-01,0.123,0.14,0.145,0.125,0.0533,0.118
1.59E+00,4.14E-02,4.55E-02,5.74E-02,7.14E-02,,1.59E+00,1.26E-01,0.127,0.141,0.145,0.124,0.0528,0.114
1.60E+00,4.26E-02,4.62E-02,5.65E-02,7.28E-02,,1.60E+00,1.29E-01,0.127,0.136,0.145,0.13,0.0495,0.117
1.60E+00,4.46E-02,4.87E-02,6.05E-02,7.49E-02,,1.60E+00,1.30E-01,0.136,0.132,0.146,0.134,0.0539,0.119
1.61E+00,4.66E-02,5.04E-02,5.95E-02,7.85E-02,,1.61E+00,1.36E-01,0.136,0.152,0.156,0.13,0.0534,0.118
1.61E+00,4.95E-02,5.08E-02,6.56E-02,8.19E-02,,1.61E+00,1.44E-01,0.144,0.148,0.158,0.138,0.0561,0.132
1.61E+00,5.07E-02,5.49E-02,6.69E-02,8.68E-02,,1.61E+00,1.47E-01,0.146,0.161,0.161,0.153,0.0585,0.135
1.62E+00,5.80E-02,6.01E-02,7.40E-02,9.43E-02,,1.62E+00,1.61E-01,0.158,0.182,0.181,0.157,0.062,0.147
1.62E+00,6.45E-02,6.68E-02,8.41E-02,1.04E-01,,1.62E+00,1.71E-01,0.159,0.195,0.201,0.166,0.0665,0.161
1.63E+00,7.37E-02,7.45E-02,1.00E-01,1.28E-01,,1.63E+00,2.06E-01,0.189,0.241,0.258,0.193,0.0693,0.182
1.63E+00,9.38E-02,9.64E-02,1.31E-01,1.69E-01,,1.63E+00,2.78E-01,0.242,0.308,0.364,0.275,0.0891,0.252
1.63E+00,1.25E-01,1.38E-01,1.91E-01,2.66E-01,,1.64E+00,3.47E-01,0.335,0.451,0.573,0.424,0.119,0.381
1.64E+00,1.80E-01,2.33E-01,3.23E-01,4.61E-01,,1.64E+00,4.05E-01,0.509,0.761,0.845,0.709,0.175,0.613
1.64E+00,2.61E-01,4.31E-01,5.55E-01,7.77E-01,,1.64E+00,5.10E-01,0.742,1.05,1.19,1,0.294,0.896
1.65E+00,3.58E-01,5.77E-01,7.36E-01,1.07E+00,,1.65E+00,4.68E-01,0.886,1.17,1.29,1.36,0.405,1.1
,,,,,,0.00E+00,,0,0,0,,,
,,,,,,0.00E+00,,0,0,0,,,
