qq,RPI-XN-HDPE-Q i,HDPE-128,RPI-XN-HDPE-128,RPI-XN-HDPE-130,,q (A^-1),RPI-XN-4-71 in Co,RPI-XN-4-73-1280C,RPI-XN-4-73-1285C,RPI-XN-4-73-1290C,RPI-XN-4-73-1295C,RPI-XN-4-73-1300C,RPI-XN-4-73-1305C
7.57E-02,2.29E-01,3.00E-01,3.40E-01,4.30E-01,,7.57E-02,3.62E+00,4.03,4.65,4.53,4.41,1.68,3.8
7.63E-02,2.30E-01,2.95E-01,3.26E-01,4.22E-01,,7.63E-02,3.63E+00,3.87,4.43,4.41,4.29,1.65,3.67
7.70E-02,2.23E-01,2.71E-01,3.10E-01,3.99E-01,,7.70E-02,3.36E+00,3.76,4.37,4.16,4.11,1.62,3.51
7.77E-02,1.97E-01,2.58E-01,3.16E-01,3.88E-01,,7.77E-02,3.28E+00,3.59,4.21,3.98,4.03,1.54,3.44
7.84E-02,2.17E-01,2.46E-01,2.92E-01,3.46E-01,,7.84E-02,3.23E+00,3.53,4.11,3.89,3.93,1.5,3.35
7.91E-02,1.91E-01,2.42E-01,2.72E-01,3.69E-01,,7.91E-02,3.06E+00,3.43,4.01,3.78,3.78,1.43,3.26
7.98E-02,1.96E-01,2.41E-01,2.87E-01,3.57E-01,,7.98E-02,3.03E+00,3.35,3.87,3.7,3.7,1.37,3.19
8.05E-02,1.83E-01,2.39E-01,2.75E-01,3.22E-01,,8.05E-02,2.97E+00,3.23,3.75,3.54,3.62,1.37,3.03
8.12E-02,1.90E-01,2.08E-01,2.62E-01,3.16E-01,,8.12E-02,2.86E+00,3.15,3.58,3.51,3.47,1.32,2.97
8.18E-02,1.85E-01,2.19E-01,2.70E-01,3.10E-01,,8.18E-02,2.77E+00,3.05,3.52,3.36,3.37,1.27,2.88
8.25E-02,1.71E-01,2.12E-01,2.48E-01,3.19E-01,,8.25E-02,2.63E+00,2.94,3.42,3.26,3.18,1.23,2.76
8.32E-02,1.64E-01,2.09E-01,2.45E-01,2.92E-01,,8.32E-02,2.56E+00,2.85,3.39,3.24,3.18,1.24,2.72
8.39E-02,1.60E-01,1.78E-01,2.37E-01,2.74E-01,,8.39E-02,2.63E+00,2.79,3.2,3.07,3.11,1.19,2.66
8.46E-02,1.59E-01,1.87E-01,2.37E-01,2.57E-01,,8.46E-02,2.48E+00,2.78,3.13,3.03,2.98,1.16,2.55
8.53E-02,1.65E-01,1.79E-01,2.04E-01,2.59E-01,,8.53E-02,2.43E+00,2.65,3.12,2.97,2.89,1.13,2.48
8.60E-02,1.48E-01,1.75E-01,2.12E-01,2.55E-01,,8.60E-02,2.36E+00,2.58,2.95,2.87,2.82,1.11,2.45
8.67E-02,1.37E-01,1.65E-01,1.92E-01,2.46E-01,,8.67E-02,2.31E+00,2.53,2.9,2.74,2.78,1.05,2.33
8.74E-02,1.32E-01,1.67E-01,2.02E-01,2.32E-01,,8.74E-02,2.21E+00,2.48,2.85,2.71,2.77,1.01,2.29
8.80E-02,1.32E-01,1.58E-01,1.91E-01,2.30E-01,,8.80E-02,2.15E+00,2.36,2.76,2.58,2.57,1.01,2.24
8.87E-02,1.22E-01,1.56E-01,1.75E-01,2.41E-01,,8.87E-02,2.09E+00,2.3,2.65,2.48,2.5,0.98,2.19
8.94E-02,1.37E-01,1.48E-01,1.77E-01,1.99E-01,,8.94E-02,2.07E+00,2.26,2.62,2.51,2.48,0.963,2.17
9.01E-02,1.17E-01,1.57E-01,1.81E-01,2.18E-01,,9.01E-02,2.04E+00,2.15,2.51,2.42,2.41,0.898,2.06
9.08E-02,1.13E-01,1.39E-01,1.71E-01,2.11E-01,,9.08E-02,1.89E+00,2.05,2.4,2.34,2.3,0.882,2.01
9.15E-02,1.13E-01,1.34E-01,1.70E-01,2.13E-01,,9.15E-02,1.89E+00,2.07,2.38,2.35,2.27,0.863,1.95
9.22E-02,1.11E-01,1.44E-01,1.53E-01,1.82E-01,,9.22E-02,1.84E+00,2.01,2.31,2.26,2.19,0.843,1.88
9.29E-02,1.19E-01,1.37E-01,1.43E-01,1.88E-01,,9.29E-02,1.78E+00,1.95,2.27,2.13,2.09,0.803,1.81
9.35E-02,1.06E-01,1.38E-01,1.46E-01,2.02E-01,,9.35E-02,1.74E+00,1.85,2.21,2.09,2.09,0.814,1.8
9.42E-02,1.04E-01,1.35E-01,1.52E-01,1.95E-01,,9.42E-02,1.65E+00,1.92,2.1,2.03,1.97,0.778,1.75
9.49E-02,1.06E-01,1.14E-01,1.36E-01,1.70E-01,,9.49E-02,1.67E+00,1.76,2.03,1.96,1.96,0.741,1.73
9.56E-02,9.30E-02,1.13E-01,1.41E-01,1.69E-01,,9.56E-02,1.60E+00,1.72,2.01,1.94,1.91,0.729,1.64
9.63E-02,9.39E-02,1.09E-01,1.39E-01,1.57E-01,,9.63E-02,1.56E+00,1.66,2.03,1.83,1.88,0.719,1.56
9.70E-02,8.96E-02,1.14E-01,1.21E-01,1.46E-01,,9.70E-02,1.55E+00,1.66,1.87,1.83,1.77,0.684,1.54
9.77E-02,8.80E-02,1.06E-01,1.28E-01,1.51E-01,,9.77E-02,1.51E+00,1.6,1.83,1.74,1.75,0.681,1.48
9.84E-02,8.75E-02,1.20E-01,1.29E-01,1.51E-01,,9.84E-02,1.45E+00,1.55,1.8,1.74,1.67,0.65,1.42
9.91E-02,8.23E-02,1.11E-01,1.23E-01,1.48E-01,,9.91E-02,1.36E+00,1.49,1.71,1.68,1.64,0.618,1.45
9.97E-02,8.39E-02,1.05E-01,1.18E-01,1.51E-01,,9.97E-02,1.35E+00,1.42,1.72,1.65,1.57,0.615,1.35
1.00E-01,7.90E-02,9.89E-02,1.08E-01,1.42E-01,,1.00E-01,1.27E+00,1.42,1.63,1.54,1.54,0.606,1.34
1.02E-01,7.89E-02,9.60E-02,1.06E-01,1.31E-01,,1.02E-01,1.20E+00,1.37,1.52,1.5,1.46,0.574,1.27
1.03E-01,7.31E-02,9.09E-02,1.04E-01,1.26E-01,,1.03E-01,1.13E+00,1.29,1.43,1.42,1.34,0.545,1.17
1.05E-01,6.57E-02,8.25E-02,9.33E-02,1.24E-01,,1.05E-01,1.09E+00,1.25,1.37,1.38,1.31,0.515,1.14
1.06E-01,6.45E-02,7.64E-02,9.14E-02,1.11E-01,,1.06E-01,1.03E+00,1.14,1.28,1.28,1.23,0.488,1.06
1.08E-01,6.29E-02,7.92E-02,8.78E-02,1.09E-01,,1.08E-01,9.90E-01,1.09,1.24,1.21,1.19,0.464,1.02
1.09E-01,6.06E-02,7.17E-02,8.13E-02,1.03E-01,,1.09E-01,9.31E-01,1.05,1.15,1.17,1.13,0.444,0.974
1.11E-01,5.69E-02,6.96E-02,7.64E-02,9.94E-02,,1.11E-01,8.88E-01,1.01,1.13,1.09,1.06,0.42,0.915
1.12E-01,5.60E-02,6.49E-02,7.41E-02,9.86E-02,,1.12E-01,8.50E-01,0.967,1.05,1.04,1.03,0.397,0.896
1.14E-01,5.00E-02,6.33E-02,7.02E-02,9.36E-02,,1.14E-01,8.08E-01,0.914,1.01,0.997,0.951,0.383,0.855
1.15E-01,4.87E-02,5.92E-02,6.93E-02,8.81E-02,,1.15E-01,7.78E-01,0.881,0.98,0.965,0.924,0.364,0.811
1.16E-01,4.93E-02,5.61E-02,6.83E-02,8.41E-02,,1.16E-01,7.36E-01,0.836,0.935,0.904,0.877,0.353,0.771
1.18E-01,4.49E-02,5.93E-02,6.23E-02,8.26E-02,,1.18E-01,7.16E-01,0.807,0.871,0.861,0.831,0.337,0.738
1.19E-01,4.55E-02,5.29E-02,5.93E-02,7.68E-02,,1.19E-01,6.86E-01,0.757,0.857,0.848,0.788,0.321,0.699
